Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,StreamingServices,OnlineBackup,DeviceProtection,TechSupport,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,Age,Married,Number of Referrals,Avg Monthly GB Download,Premium Tech Support,Unlimited Data,Churn
No,1.0,Yes,No,DSL,No,No,No,No,No,Month-to-month,Yes,Cash,1369.5,63,No,0,24,No,Yes,1
No,7.0,Yes,Yes,Fiber optic,No,Yes,No,No,No,Month-to-month,No,eSewa,2850.0,32,No,0,28,No,No,1
No,20.0,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Month-to-month,No,Cash,2472.0,26,Yes,5,51,No,Yes,1
No,4.0,Yes,No,Fiber optic,No,No,No,No,No,Month-to-month,Yes,Mobile Banking,2127.0,42,No,0,27,No,Yes,1
No,58.0,No,No,DSL,No,Yes,Yes,Yes,No,Month-to-month,Yes,Cash,1359.0,66,Yes,6,24,No,Yes,1
No,2.0,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Month-to-month,Yes,Cash,3132.0,26,Yes,1,53,Yes,Yes,1
No,53.0,Yes,No,Fiber optic,No,Yes,No,Yes,No,One year,Yes,Mobile Banking,2845.5,24,Yes,5,73,No,Yes,1
No,15.0,Yes,Yes,Fiber optic,No,No,No,No,No,Month-to-month,Yes,eSewa,2233.5,70,No,0,19,No,Yes,1
No,7.0,Yes,No,Fiber optic,Yes,No,No,No,No,Month-to-month,No,Mobile Banking,2293.5,77,No,0,18,No,No,1
No,1.0,No,No,DSL,No,No,Yes,No,No,Month-to-month,No,Mobile Banking,898.5,54,No,0,27,No,Yes,1
No,8.0,Yes,Yes,Fiber optic,No,Yes,No,No,No,Month-to-month,No,Mobile Banking,2535.0,51,No,0,19,No,Yes,1
No,13.0,Yes,No,Fiber optic,No,No,Yes,Yes,No,Month-to-month,Yes,Cash,2377.5,48,No,0,76,No,Yes,1
No,1.0,No,No,DSL,No,Yes,No,No,No,Month-to-month,Yes,Cash,744.0,29,Yes,4,29,No,Yes,1
No,6.0,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,Month-to-month,Yes,Cash,2730.0,39,Yes,5,29,No,Yes,1
No,1.0,Yes,No,Fiber optic,No,Yes,No,No,No,Month-to-month,No,Cash,2397.0,62,No,0,21,No,Yes,1
No,19.0,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Cash,3198.0,43,No,0,19,Yes,No,1
No,2.0,Yes,No,DSL,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),1380.0,19,No,0,41,No,Yes,1
No,4.0,Yes,No,Fiber optic,No,No,No,No,No,Month-to-month,Yes,Cash,2104.5,39,No,0,17,No,Yes,1
No,4.0,Yes,No,DSL,No,No,No,No,Yes,Month-to-month,No,eSewa,1501.5,50,Yes,2,22,Yes,Yes,1
No,1.0,Yes,No,DSL,No,Yes,No,No,No,Month-to-month,No,eSewa,1656.0,22,Yes,0,58,No,Yes,1
No,1.0,Yes,No,Fiber optic,Yes,Yes,No,No,No,Month-to-month,Yes,eSewa,2538.0,40,No,0,11,No,Yes,1
No,2.0,Yes,Yes,DSL,No,Yes,Yes,No,No,Month-to-month,Yes,eSewa,1632.0,22,No,0,73,No,Yes,1
No,11.0,Yes,No,Fiber optic,No,Yes,Yes,No,No,Month-to-month,Yes,Cash,2850.0,78,No,0,29,No,No,1
No,15.0,Yes,No,Fiber optic,No,No,Yes,No,No,Month-to-month,Yes,Cash,2232.0,65,No,0,29,No,Yes,1
No,1.0,Yes,No,DSL,Yes,No,No,No,No,Month-to-month,Yes,eSewa,1456.5,37,No,0,9,No,Yes,1
Yes,2.0,Yes,No,Fiber optic,No,No,No,No,No,Month-to-month,No,Cash,2112.0,47,Yes,1,21,No,Yes,1
No,1.0,No,No,DSL,No,Yes,Yes,No,No,Month-to-month,No,Cash,1206.0,77,Yes,1,12,No,Yes,1
No,2.0,Yes,No,DSL,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),1338.0,41,Yes,3,16,No,Yes,1
No,3.0,No,No,DSL,No,Yes,No,Yes,No,Month-to-month,Yes,Cash,1234.5,67,No,0,28,No,Yes,1
No,13.0,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,Month-to-month,Yes,Cash,3207.0,68,No,0,11,No,No,1
No,59.0,Yes,No,No,No,No,No,No,No,Two year,No,eSewa,580.5,51,No,0,0,No,No,1
No,16.0,Yes,No,Fiber optic,No,Yes,No,No,Yes,Month-to-month,Yes,Cash,2833.5,68,No,0,9,Yes,Yes,1
No,1.0,No,No,DSL,No,No,No,No,No,Month-to-month,No,Mobile Banking,744.0,60,No,0,29,No,Yes,1
No,1.0,Yes,No,Fiber optic,No,No,No,No,No,Month-to-month,No,eSewa,2118.0,30,No,0,41,No,Yes,1
No,5.0,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Month-to-month,Yes,Cash,2562.0,51,Yes,1,16,Yes,Yes,1
No,52.0,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,Month-to-month,Yes,Cash,3151.5,20,Yes,6,48,No,Yes,1
Yes,18.0,Yes,No,Fiber optic,No,Yes,No,Yes,No,Month-to-month,No,eSewa,2854.5,52,Yes,6,28,No,Yes,1
No,1.0,Yes,No,Fiber optic,No,No,No,No,No,Month-to-month,No,Cash,2100.0,41,Yes,1,18,No,No,1
No,8.0,Yes,No,Fiber optic,No,No,Yes,No,No,Month-to-month,Yes,Cash,2235.0,66,No,0,7,No,Yes,1
No,10.0,Yes,No,DSL,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),1345.5,34,No,0,17,No,Yes,1
No,24.0,Yes,Yes,Fiber optic,No,No,No,No,No,Month-to-month,Yes,Cash,2283.0,69,No,0,15,No,Yes,1
Yes,1.0,Yes,No,Fiber optic,Yes,Yes,No,No,No,Month-to-month,Yes,eSewa,2208.0,21,No,0,52,No,Yes,1
No,4.0,Yes,Yes,Fiber optic,No,Yes,No,No,No,Month-to-month,Yes,Cash,2863.5,74,No,0,2,No,Yes,1
No,32.0,Yes,Yes,Fiber optic,No,No,No,No,No,Month-to-month,Yes,Cash,2247.0,76,Yes,2,10,No,Yes,1
No,5.0,Yes,No,Fiber optic,No,Yes,No,No,No,Month-to-month,Yes,Cash,2418.0,30,No,0,52,No,No,1
Yes,38.0,Yes,No,DSL,Yes,Yes,Yes,No,Yes,One year,No,Credit card (automatic),2409.0,55,Yes,1,19,Yes,Yes,1
No,24.0,Yes,No,Fiber optic,No,Yes,No,Yes,No,Month-to-month,Yes,Cash,2794.5,77,Yes,1,12,No,Yes,1
No,54.0,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,One year,No,Mobile Banking,2473.5,70,No,0,5,Yes,Yes,1
No,2.0,Yes,No,Fiber optic,No,No,No,No,No,Month-to-month,Yes,Cash,2110.5,74,No,0,10,No,Yes,1
No,7.0,Yes,Yes,Fiber optic,No,Yes,No,No,No,Month-to-month,Yes,Cash,2215.5,29,No,0,26,No,Yes,1
No,2.0,Yes,Yes,Fiber optic,No,No,No,Yes,No,Month-to-month,No,eSewa,2418.0,54,No,0,20,No,Yes,1
Yes,68.0,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,One year,Yes,Mobile Banking,2274.0,63,Yes,1,18,Yes,No,1
No,43.0,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,Two year,Yes,Cash,3138.0,24,No,0,59,No,Yes,1
No,63.0,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,Month-to-month,Yes,Cash,3102.0,61,Yes,2,13,No,Yes,1
No,2.0,Yes,No,Fiber optic,No,Yes,No,No,No,Month-to-month,Yes,Cash,2712.0,47,No,0,8,No,Yes,1
Yes,4.0,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,Month-to-month,Yes,Mobile Banking,2544.0,26,Yes,5,19,No,Yes,1
No,21.0,No,No,DSL,Yes,Yes,No,No,No,Month-to-month,Yes,Cash,1257.0,77,No,0,8,No,Yes,1
No,10.0,Yes,No,Fiber optic,No,Yes,No,No,No,Month-to-month,Yes,Mobile Banking,2407.5,40,No,0,11,No,Yes,1
No,27.0,No,No,DSL,Yes,No,No,No,No,Month-to-month,No,Credit card (automatic),922.5,71,Yes,0,13,No,No,1
No,5.0,Yes,No,Fiber optic,No,Yes,No,Yes,No,Month-to-month,No,Mobile Banking,2895.0,54,No,0,8,No,Yes,1
No,2.0,Yes,Yes,Fiber optic,No,Yes,No,No,No,Month-to-month,Yes,Cash,2569.5,22,No,0,27,No,Yes,1
No,25.0,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Month-to-month,Yes,Mobile Banking,3148.5,48,Yes,1,10,Yes,Yes,1
No,1.0,Yes,No,DSL,No,Yes,Yes,No,No,Month-to-month,No,eSewa,1519.5,26,No,0,59,No,Yes,1
No,1.0,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),2725.5,64,No,0,24,No,Yes,1
No,11.0,Yes,No,No,No,No,No,No,No,Month-to-month,No,eSewa,598.5,79,Yes,1,0,No,No,1
No,55.0,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,Month-to-month,Yes,Cash,2563.5,66,Yes,2,27,No,No,1
No,34.0,Yes,No,Fiber optic,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),2218.5,63,No,0,14,No,Yes,1
Yes,69.0,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),2983.5,30,Yes,2,26,No,Yes,1
No,1.0,Yes,No,No,No,No,No,No,No,Month-to-month,Yes,eSewa,597.0,59,No,0,0,No,No,1
No,1.0,Yes,No,No,No,No,No,No,No,Month-to-month,Yes,eSewa,588.0,52,No,0,0,No,No,1
No,3.0,Yes,Yes,Fiber optic,No,No,Yes,No,No,Month-to-month,Yes,Cash,2440.5,77,No,0,14,No,Yes,1
Yes,22.0,Yes,No,Fiber optic,No,Yes,Yes,No,No,Month-to-month,No,Cash,2499.0,23,Yes,4,53,No,Yes,1
No,1.0,Yes,No,Fiber optic,No,No,No,Yes,No,Month-to-month,Yes,Mobile Banking,2259.0,80,No,0,17,No,No,1
Yes,61.0,Yes,No,No,No,No,No,No,No,Month-to-month,Yes,eSewa,582.0,22,Yes,3,0,No,No,1
No,12.0,Yes,No,DSL,No,No,No,No,No,Month-to-month,Yes,Mobile Banking,1362.0,49,No,0,14,No,Yes,1
No,60.0,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,Month-to-month,Yes,Cash,3177.0,20,No,0,71,No,Yes,1
No,1.0,Yes,No,Fiber optic,No,No,No,No,No,Month-to-month,No,eSewa,2086.5,54,No,0,13,No,Yes,1
Yes,28.0,Yes,No,Fiber optic,No,Yes,No,No,No,Month-to-month,Yes,Cash,2431.5,58,Yes,1,13,No,Yes,1
Yes,4.0,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Month-to-month,No,Cash,3034.5,21,Yes,3,48,No,Yes,1
No,7.0,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Month-to-month,Yes,Cash,2994.0,61,No,0,2,No,No,1
Yes,13.0,Yes,No,DSL,No,Yes,No,No,No,Month-to-month,No,Cash,1678.5,60,Yes,3,27,No,Yes,1
No,1.0,Yes,No,DSL,No,Yes,No,No,No,Month-to-month,Yes,Cash,1650.0,25,No,0,53,No,Yes,1
Yes,1.0,Yes,No,Fiber optic,No,No,Yes,No,No,Month-to-month,Yes,Cash,2241.0,52,Yes,0,8,No,Yes,1
No,24.0,Yes,Yes,Fiber optic,No,No,Yes,No,No,Month-to-month,Yes,Cash,2407.5,52,No,0,20,No,Yes,1
No,5.0,Yes,No,Fiber optic,No,Yes,No,No,Yes,Month-to-month,Yes,Cash,2883.0,61,No,0,11,Yes,Yes,1
Yes,15.0,Yes,No,Fiber optic,No,No,No,No,No,Month-to-month,No,Mobile Banking,2070.0,40,No,0,28,No,Yes,1
No,48.0,No,No,DSL,Yes,Yes,No,Yes,No,Month-to-month,Yes,Mobile Banking,1359.0,28,Yes,3,58,No,No,1
Yes,8.0,Yes,No,Fiber optic,No,Yes,Yes,No,No,Month-to-month,Yes,Cash,2506.5,32,Yes,1,25,No,Yes,1
Yes,1.0,Yes,Yes,Fiber optic,No,No,No,No,No,Month-to-month,Yes,Cash,2230.5,32,No,0,2,No,Yes,1
No,2.0,Yes,No,Fiber optic,Yes,No,No,No,No,Month-to-month,Yes,Cash,2232.0,28,Yes,1,41,No,Yes,1
No,22.0,No,No,DSL,No,Yes,Yes,Yes,No,One year,Yes,Mobile Banking,1312.5,51,No,0,16,No,Yes,1
No,5.0,No,No,DSL,No,No,Yes,No,No,Month-to-month,No,Cash,853.5,77,No,0,26,No,Yes,1
No,12.0,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Mobile Banking,2991.0,49,No,0,14,No,Yes,1
No,20.0,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,Month-to-month,Yes,Cash,2823.0,77,No,0,12,No,No,1
No,2.0,Yes,No,Fiber optic,No,Yes,No,No,Yes,Month-to-month,Yes,Cash,2826.0,49,Yes,4,19,Yes,Yes,1
Yes,6.0,Yes,Yes,Fiber optic,No,No,No,No,Yes,Month-to-month,Yes,Cash,2415.0,64,Yes,1,23,Yes,Yes,1
No,5.0,Yes,Yes,Fiber optic,No,No,No,No,No,Month-to-month,Yes,Cash,2230.5,72,Yes,4,22,No,Yes,1
No,40.0,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Month-to-month,No,Mobile Banking,3144.0,55,No,0,8,Yes,Yes,1
No,27.0,Yes,No,Fiber optic,Yes,No,No,No,No,Month-to-month,Yes,Mobile Banking,2256.0,80,Yes,2,25,No,Yes,1
No,23.0,Yes,Yes,Fiber optic,No,No,No,No,No,Month-to-month,No,Mobile Banking,2268.0,47,No,0,23,No,Yes,1
No,34.0,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Month-to-month,Yes,Cash,3001.5,22,Yes,2,52,No,No,1
No,1.0,Yes,Yes,Fiber optic,No,Yes,No,No,No,Month-to-month,Yes,Cash,2550.0,51,No,0,30,No,Yes,1
No,10.0,Yes,Yes,Fiber optic,No,Yes,No,No,No,Month-to-month,Yes,Mobile Banking,2581.5,33,No,0,11,No,Yes,1
No,13.0,No,No,DSL,Yes,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),1366.5,52,No,0,17,Yes,Yes,1
Yes,39.0,Yes,No,Fiber optic,No,Yes,Yes,No,No,Month-to-month,Yes,eSewa,2589.0,29,Yes,5,19,No,Yes,1
No,32.0,Yes,Yes,Fiber optic,No,No,Yes,No,No,Month-to-month,Yes,Mobile Banking,2410.5,31,No,0,21,No,Yes,1
No,35.0,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Month-to-month,Yes,Cash,3007.5,44,No,0,17,No,Yes,1
No,56.0,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,One year,No,Credit card (automatic),3009.0,50,Yes,2,7,No,No,1
Yes,12.0,Yes,No,No,No,No,No,No,No,Month-to-month,No,eSewa,570.0,48,Yes,1,0,No,No,1
No,1.0,Yes,No,Fiber optic,Yes,No,No,No,No,Month-to-month,No,eSewa,2259.0,28,No,0,51,No,Yes,1
No,4.0,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Month-to-month,Yes,Cash,2676.0,74,No,0,24,No,Yes,1
No,1.0,Yes,Yes,Fiber optic,No,Yes,No,No,No,Month-to-month,Yes,Cash,2571.0,68,No,0,21,No,Yes,1
No,12.0,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Month-to-month,Yes,eSewa,1849.5,52,No,0,30,Yes,Yes,1
No,65.0,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,Month-to-month,No,Mobile Banking,3157.5,78,Yes,3,28,No,Yes,1
Yes,9.0,No,No,DSL,No,No,Yes,No,No,Month-to-month,Yes,Cash,898.5,32,Yes,1,9,No,No,1
Yes,9.0,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Month-to-month,No,eSewa,1950.0,20,Yes,1,69,Yes,Yes,1
No,7.0,Yes,No,No,No,No,No,No,No,Month-to-month,No,Mobile Banking,600.0,27,No,0,0,No,No,1
No,49.0,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),2701.5,75,Yes,3,14,No,Yes,1
Yes,43.0,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Mobile Banking,3322.5,77,Yes,1,5,Yes,Yes,1
Yes,65.0,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,Month-to-month,Yes,Cash,3165.0,20,Yes,7,26,No,Yes,1
Yes,56.0,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,One year,Yes,Mobile Banking,3136.5,80,Yes,0,12,No,Yes,1
No,10.0,Yes,Yes,Fiber optic,No,Yes,No,No,No,Month-to-month,Yes,Cash,2557.5,26,Yes,1,82,No,No,1
Yes,43.0,Yes,No,DSL,No,Yes,No,No,No,Month-to-month,No,Cash,1684.5,57,Yes,3,20,No,Yes,1
No,1.0,Yes,No,Fiber optic,No,Yes,No,No,No,Month-to-month,Yes,Cash,2686.5,38,No,0,27,No,Yes,1
No,20.0,Yes,Yes,Fiber optic,No,Yes,No,No,No,Month-to-month,Yes,Cash,2836.5,75,Yes,7,10,No,Yes,1
No,1.0,Yes,No,DSL,No,No,No,No,No,Month-to-month,Yes,eSewa,1371.0,57,No,0,13,No,Yes,1
No,2.0,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Month-to-month,No,Cash,2685.0,69,No,0,19,No,Yes,1
No,3.0,Yes,No,Fiber optic,No,No,No,No,No,Month-to-month,Yes,Mobile Banking,2086.5,30,No,0,30,No,Yes,1
No,1.0,Yes,No,Fiber optic,No,No,No,Yes,No,Month-to-month,Yes,eSewa,2238.0,23,No,0,47,No,No,1
No,8.0,Yes,No,No,No,No,No,No,No,Month-to-month,No,Cash,589.5,74,No,0,0,No,No,1
Yes,2.0,Yes,No,No,No,No,No,No,No,One year,No,eSewa,595.5,40,Yes,2,0,No,No,1
No,4.0,No,No,DSL,No,No,No,No,No,Month-to-month,Yes,eSewa,727.5,48,No,0,16,No,Yes,1
No,2.0,Yes,No,Fiber optic,No,No,No,No,No,Month-to-month,No,Cash,2089.5,52,No,0,27,No,Yes,1
No,4.0,Yes,No,DSL,No,No,No,No,No,Month-to-month,No,eSewa,1369.5,47,No,0,27,No,Yes,1
No,1.0,Yes,Yes,Fiber optic,No,No,No,No,No,Month-to-month,Yes,eSewa,2251.5,23,No,0,58,No,Yes,1
No,52.0,No,No,DSL,No,Yes,Yes,No,No,Month-to-month,Yes,Cash,1474.5,76,No,0,18,No,No,1
No,2.0,No,No,DSL,No,Yes,No,No,No,Month-to-month,Yes,Cash,1041.0,19,No,0,76,No,Yes,1
Yes,1.0,Yes,No,Fiber optic,No,Yes,No,No,No,Month-to-month,No,Cash,2400.0,48,Yes,1,3,No,Yes,1
No,2.0,Yes,No,DSL,Yes,No,No,No,No,Month-to-month,Yes,Cash,1477.5,69,No,0,27,No,Yes,1
No,3.0,Yes,Yes,Fiber optic,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),2253.0,63,No,0,10,No,Yes,1
Yes,3.0,Yes,No,DSL,No,No,No,Yes,No,Month-to-month,Yes,Cash,1504.5,23,Yes,1,51,No,Yes,1
No,25.0,Yes,No,Fiber optic,Yes,No,Yes,No,No,Month-to-month,Yes,Mobile Banking,2395.5,54,No,0,12,No,Yes,1
No,1.0,Yes,No,No,No,No,No,No,No,Month-to-month,No,eSewa,586.5,27,No,0,0,No,No,1
Yes,4.0,Yes,Yes,Fiber optic,No,Yes,No,No,No,Month-to-month,Yes,Cash,2578.5,48,Yes,1,30,No,Yes,1
No,3.0,Yes,No,DSL,No,No,No,No,No,Month-to-month,Yes,Cash,1360.5,26,No,0,59,No,Yes,1
No,33.0,Yes,Yes,Fiber optic,No,Yes,No,No,No,Month-to-month,Yes,Cash,2835.0,72,Yes,1,8,No,Yes,1
No,30.0,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,Month-to-month,No,Credit card (automatic),2751.0,69,No,0,19,No,Yes,1
No,45.0,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Month-to-month,Yes,Cash,2617.5,29,No,0,51,Yes,Yes,1
No,10.0,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Month-to-month,No,Cash,2956.5,51,No,0,13,No,Yes,1
No,20.0,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Month-to-month,Yes,Cash,2956.5,73,No,0,13,No,No,1
Yes,15.0,Yes,No,Fiber optic,No,Yes,Yes,No,No,Month-to-month,Yes,Mobile Banking,2577.0,37,No,0,13,No,Yes,1
No,22.0,Yes,No,Fiber optic,No,Yes,No,No,No,Month-to-month,No,Cash,2677.5,38,No,0,2,No,Yes,1
No,3.0,Yes,No,Fiber optic,No,No,No,No,No,Month-to-month,Yes,Cash,2109.0,31,Yes,1,11,No,Yes,1
No,15.0,Yes,Yes,Fiber optic,No,Yes,No,No,No,Month-to-month,Yes,Cash,2800.5,49,No,0,15,No,Yes,1
No,1.0,Yes,No,No,No,No,No,No,No,Month-to-month,No,eSewa,597.0,45,No,0,0,No,No,1
No,5.0,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,Month-to-month,Yes,eSewa,2667.0,37,Yes,1,27,No,Yes,1
No,33.0,Yes,No,Fiber optic,No,Yes,No,Yes,No,One year,Yes,Cash,2874.0,24,Yes,1,41,No,No,1
No,2.0,Yes,Yes,Fiber optic,No,No,Yes,No,No,Month-to-month,Yes,Cash,2460.0,42,No,0,14,No,Yes,1
No,2.0,Yes,No,DSL,No,No,No,No,No,Month-to-month,No,Cash,1360.5,63,No,0,9,No,Yes,1
No,1.0,Yes,No,DSL,No,No,No,No,Yes,Month-to-month,Yes,Cash,1566.0,41,No,0,23,Yes,Yes,1
No,46.0,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,One year,Yes,Cash,3300.0,65,No,0,20,No,Yes,1
No,62.0,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,One year,Yes,Cash,2902.5,58,No,0,9,No,Yes,1
No,10.0,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Month-to-month,Yes,Cash,2955.0,33,No,0,30,Yes,No,1
No,6.0,Yes,No,Fiber optic,No,Yes,Yes,No,No,Month-to-month,Yes,Cash,2560.5,61,No,0,27,No,Yes,1
